,tweet,pol_value,sentiment
1,"Moron
",0,neutral
3,"congratulations
",4.3039981361140605,positive
5,"What s Pipe Jr jersey number
",0.0,neutral
7,"Final
",0,neutral
9,"Pretend like you didn’t see were I congratulated him
",17.175028814175974,positive
11,"Animal Here you go bum very common Stop even obsessing how arsenal pay for transfers tragic fanbase…
",-63.049716616473894,negative
13,"We love you too
",4.3039981361140605,positive
15,"Doubt he’d be interested in Napoli or Arsenal as a matter of fact 
",9.776834825060545,positive
17,"Congrats Pipe
",4.134073134671748,positive
19,"Stop it Just stop How many trophies have we won How many top finishes have there been since he arri…
",40.35173910278347,positive
21,"I enjoy soccer futbol But there are way to many red teams Arsenal Manchester Liverpool and Bayer Munched
",11.005103812733664,positive
23,"Nincompoop
",0,neutral
25,"When did Arsenal start playing the Premier League
",7.215678849449361,positive
27,"Marvelous Nakamba was an used sub as Baston Villa lost to Liverpool can stay up Next fixtures…
",-49.60987223882046,negative
29,"Haka fans ironically saying Lacazatte signing is the black day for Arsenal club with a straight face
",13.911994408342181,positive
31,"Or literally just ask the most powerful tool in a teacher s arsenal is admitting when you need help Morel what you preach
",10.005103812733664,positive
33,"Met you re great fun at party s
",0.0,neutral
35,"That’s awesome Congratulations Nice
",10.607996272228121,positive
37,"i ve been using the janitor skin in arsenal a lot ink why low
",12.867600288983729,positive
39,"Y always Arsenal 
",0.0,neutral
41,"Loool why you cuppin Is this how much arsenal fans trigger you lot  you man just won a game and you’r…
",32.23902631596321,positive
43,"Wish I wouldn t say so but arsenal wins or draws and Baston villa manage to get something out of united a draw at le…
",18.102716032124274,positive
45,"Lack s first touch was on point for the nd goal was class made it look too easy
",49.64123766920241,positive
47,"I would like Douceuré
",0.0,neutral
49,"I m looking now
",0.0,neutral
51,"Zero will body your favorite and is the strongest how about that
",-28.383514493302627,negative
53,"Isn’t it time for high school yet Clubs like Arsenal have true his…
",-3.4612047255049267,negative
55,"Sign for the arsenal women team n ill rep you 
",4.3039981361140605,positive
57,"You read it wrong bro
",-13.162310402124529,negative
59,"doing As takes so much out of me  i put my entire arsenal hands tools patience soul into them and i really h…
",1.7690154844695867,positive
61,"The team is improving so every one is buying into Artema ideas the trend will continue this week Alba is signing Da ting
",64.02684152009408,positive
63,"I personally think we ve got exactly what we bought Poor injured fantastic game changer…
",0.0,neutral
65,"After working so hard to make a name for himself in a mediocre team you now want him to join Arsenal Di…
",10.023033771506965,positive
67,"just checked the next fixtures all i can say is Arsenal has a very high chance of finishing th if they win most of them
",36.52134235844286,positive
69,"I said their prices would get closer This was tweeted in January and Martinelli only got injured two w…
",6.215678849449361,positive
71,"Did anyone notice Mike Artema shouting instructions constantly to Dans Caballos during the Arsenal v Wolves match yesterday
",17.916784526068966,positive
73,"remember you re in an abusive relationship with arsenal 
",-7.742119248505946,negative
75,"Class player with a class attitude delighted he has a new contract Arsenal 
",19.91199440834218,positive
77,"Rod Ty so much always
",0.0,neutral
79,"big games left tonight Anychance of one more betbuilder 
",9.159613761789288,positive
81,"Run fact Liverpool would be pts above arsenal if only Liverpool’s home games counted this season…
",19.250757962616916,positive
83,"It will end in years
",-0.4381211123918849,negative
85,"Congratulations pipe
",4.3039981361140605,positive
87,"mayowa You too try to assimilate what I said cause I don’t remember putting in the words “better tha…
",8.438071270785809,positive
89,"Talent wise he s good enough for a top side maybe not a title challenging side More…
",45.981095722863074,positive
91,"It s imperative that we extend Aubameyang s contract to help develop our academy youths and also he can attract goo…
",21.291171990074425,positive
93,"Ox has a patch of bad form and Arsenal fans pipe up like he wouldn t walk into their mid table side 🤷‍
",-38.28279048959336,negative
95,"No matter the event my go to advice is to have phrases or topics to say or pivot to beforehand so you’re prepared …
",2.643434760779651,positive
97,"Arsenal fan leave him
",-5.041679530364854,negative
99,"Arsenal are heavily interested in Allan Saint Maximin They have been in contact with the players camp besport
",4.576370406527191,positive
101,"What a beautiful week
",4.3039981361140605,positive
103,"Watford have Man City and arsenal last two games If we’re around the same points as them by then I believe we sta…
",32.28769175939016,positive
105,"Arsenal fans when they were celebrating Pipe having more goal contributions than Daniel James type beat 
",8.476380151560871,positive
107,"Arsenal
",0.0,neutral
109,"Could probably start for arsenal trf
",0.0,neutral
111,"nan
",0,neutral
113,"Like arsenal defense oh nothing is more scary than arsenal defense
",12.218507450842857,positive
115,"You either rate Lo Cels or you haven’t watched him he’s unreal would walk into Arsenal’s team and would be your…
",2.4804014466581905,positive
117,"Congrats 
",4.134073134671748,positive
119,"Remember him giving Radford the cross for his header against Arsenal
",-2.987231746342477,negative
121,"Lewis is an arsenal fan What were you saying
",-0.4746469884169988,negative
123,"You do remember that you have Man City in semis right
",-7.461870683983436,negative
125,"Ff cup final Arsenal vs Man Ut
",0.0,neutral
127,"You mean he doesn’t deserve to be a dad 🤔
",3.753801053553581,positive
129,"Can t wait to see our activities my worry is are the Kroenkes re…
",-26.798551992581473,negative
131,"Good news from hospital
",12.607996272228121,positive
133,"MW He should go to where Arsenal 🤣🤣
",-5.282687629868649,negative
135,"He didn t prefer playing on the wing in Arsenal With him playing in midfield you could see so much mor…
",6.993286428112913,positive
137,"Have more wins than United and Arsenal combined
",12.066504357397806,positive
139,"Well i feel like he want to stay and play for the Club but Nobody knows it s both Arsenal amp Madrid 
",-10.314313495569579,negative
141,"McAndrews Love the energy he brings
",18.91199440834218,positive
143,"why are you friends with arsenal fans — why wouldn’t i be as long as they can take the banter i’m here for any f…
",2.988911886941475,positive
145,"Awesome 
",0.0,neutral
147,"He’s off to Arsenal I’m afraid
",-2.8006911917765938,negative
149,"Even Woolwich has an even smaller divide The Arsenal Complex amp Woolwich Town Centre It’s walled off …
",5.9786396521485115,positive
151,"Get on this and do an Arsenal lad a favour
",3.7954876958307775,positive
153,"Arsenal hive undefeated 
",0.0,neutral
155,"Trained with the Arsenal training kit gt gt
",0.0,neutral
157,"Congratulations Nice
",4.3039981361140605,positive
159,"In a space of a week Arsenal has had Sake score a goal Man Ut has had Greenwood score goals Man City has had Woden…
",13.589350513370235,positive
161,"S HAPPY SUGAR RA DAY Clean house mile run and Arsenal win good vibes only
",58.111685094681725,positive
163,"Way better than shitclub ARSENAL
",6.3039981361140605,positive
165,"Over green total commitment
",0,neutral
167,"Traffic Why everyone saying Arsenal 
",2.7190356353929044,positive
169,"Why can t Arsenal take David Silva on a free tho I would take him without blinking twice Use him as a role model to Sake Willock SR
",15.04606754301393,positive
171,"I follow back
",3.4966432140564563,positive
173,"I already support Arsenal utu nimekuja straight to the winning team tu hakuna negotiation 
",14.59006631345482,positive
175,"Phenomena indeed🤫
",0,neutral
177,"James Rodriguez to Arsenal on still
",0.0,neutral
179,"Who should get I personally like Cartwell and or Greatish as possibly cheaper options to Caballos in midfield
",6.027823889233747,positive
181,"Not an Arsenal player my g
",-1.8531586116707288,negative
183,"This guy is very good need more playing time
",13.715150664899312,positive
185,"Arsenal has a chance of replacing Chelsea in the To than United based on remaining fixtures
",-5.010315359455518,negative
187,"Arsenal Cash in on him  He s not Arsenal s entity is he
",9.023033771506965,positive
189,"Year I am still go to more Arsenal games than all you fanboys who live round the corner
",4.198854226808001,positive
191,"I’m going into hiding if both arsenal and saints finish above us Legit my worst nightmare  cheers
",-62.68902505939607,negative
193,"Chelsea fans hail Ashler Cole a ’true blue’ after Arsenal ‘snub’ on To
",-3.1571567477847897,negative
195,"Looks like Stones played his last game for City Arsenal and Evertor rumoured to be interested
",4.632446330933279,positive
197,"there’s a hacker in this arsenal I forgot his username
",-2.987231746342477,negative
199,"You re not funny g
",2.7190356353929044,positive
201,"I live pretty close to that place
",-5.742119248505945,negative
203,"Loool only big game Lacazette has played in for Arsenal was the Europa League semi final in …
",14.112704736044222,positive
205,"arsenal riven mod boosts any stat on anything the possibilities are endless ply dont make it a thing k tax
",-7.742119248505946,negative
207,"Give from Season continues We are unbeaten in all competitions could we have an Invincible Season Joy…
",0.0,neutral
209,"How you expect Arsenal to lose a Twitter poll 
",-20.641395244796684,negative
211,"A decent week to announce the deals
",4.3039981361140605,positive
213,"Congratulations man🥂
",4.3039981361140605,positive
215,"Arsenal
",0.0,neutral
217,"Why is the British Media after this man though Focus on Arsenal and United
",2.7190356353929044,positive
219,"In a scale of where would you rank Bucayo Sake s performance at Arsenal this season
",3.7190356353929044,positive
221,"Reminds me of the pinger scored against Arsenal in the demolition
",-20.419002823460232,negative
223,"Will Arsenal sign both Upamecano Party this summer
",1.1468413883292712,positive
225,"Congratulation to him 
",0.0,neutral
227,"Times change mate reputation changes I’m sorry but arsenal are not as big as they…
",4.070339486285322,positive
229,"Boy or girl Or both
",-0.7190854769989805,negative
231,"worry about your having another below par season
",-26.798551992581473,negative
233,"Crucial remaining games for the boys Let s keep the momentum How many points we ll get
",6.759627778284175,positive
235,"Arsenal
",0.0,neutral
237,"Would Lane score goals at Arsenal Absolutely not Would Alba score more at Liverpool without question
",15.522505586956918,positive
239,"I follow back
",3.4966432140564563,positive
241,"Polls no give us assignment wey no concyne us beg Me mases I go kuku prefer make we no smell…
",-7.439894219259514,negative
243,"still has more trophies in the past decade than arsenal 🤣
",7.499471815449952,positive
245,"Kola low you this arsenal fool 
",0.0,neutral
247,"I love Arsenal
",0.0,neutral
249,"Supposed to be bang on this and both Martin amp Roan are The Arsenal 
",-0.40335569423120843,negative
251,"quiet Come on man
",-4.934764326448342,negative
253,"This is such an underrated goal For a man who hasn’t scored away from home in the league since last February he t…
",11.539774927980467,positive
255,"I won t be a sooner in Jesus name I ll continue to declare the works of the lord in the land of the living
",62.62385741325187,positive
257,"need points out of to get for the big Brighton A Burley H Arsenal A Chelsea H Newscast…
",-3.622939300832812,negative
259,"I’ve always said that I don’t see a massive improvement compared to his time at Arsenal He had great g…
",4.865877023722176,positive
261,"arsenal v reign rematch very needed imo i wanna see allied long square up to tatie mccabe 
",-4.742119248505945,negative
263,"Jasmin Armed We shall rejoice with you Arsenal hatuna cheki
",0.0,neutral
265,"Man U and Arsenal disappointed u yesterday I wonder how u felt
",5.157106906178713,positive
267,"Congratulations Pipe
",4.3039981361140605,positive
269,"arc How’s th place looking rn We left it just for you to sit hope it’s warm there
",11.566982700341779,positive
271,"Arsenal could sell French midfielder Matter Guendouzi France forward Alexander Lacazette or Uruguay midi…
",14.724139448126568,positive
273,"Arsenal fan
",-5.041679530364854,negative
275,"As much as I want him to at Arsenal he is going to A Milan
",0.0,neutral
277,"So we d be still above Arsenal 🤣
",7.472836688946485,positive
279,"U mean points above relegation brush y u getting Arsenal here
",1.2629845642277182,positive
281,"How many golden boots did Henry get at Arsenal and how…
",14.238712620956326,positive
283,"A brighton H burley A arsenal H chelsea A newcastle Last games are a bit dodgy But we should be breaking city record
",-5.790762732681053,negative
285,"when the other side did this people ignored now since black men are showing they too have arsenal it’s…
",15.04606754301393,positive
287,"Villa s remaining fixtures Man Ut H C Palace H Evertor A Arsenal H West Ham A All tough matches for t…
",-59.82802023430651,negative
289,"How old were u when u discovered FIFA means football Isn For Arsenal
",12.724139448126568,positive
291,"Luck Its inches to short to route through the back So there s gonna be a ugly ass wire going through the case
",4.812323155218152,positive
293,"CONGRATS PEPE
",4.134073134671748,positive
295,"Rmian brewster has more trophies in the past years than arsenal
",2.7573525669440064,positive
297,"Running down the wings for our women’s team
",-20.641395244796684,negative
299,"forward Nicholas Pipe and his partner welcomed their first child yesterday  Congratulations 
",5.035802025164488,positive
301,"Nairabian Arsenal loss
",-7.742119248505946,negative
303,"Www Congratulations to his wife and him 🥳
",-4.425352858734362,negative
305,"Congrats bro
",-1.2861180189468353,negative
307,"Congrats
",4.134073134671748,positive
309,"chelsea fans tweaking for miss long purely because scar who she replied to is an arsenal fan pus help
",-1.4977306015300407,negative
311,"Looks like we need to get points from Arsenal Chelsea and Newcastle to break the point mark
",6.133701547282751,positive
313,"There were not that many clubs Back then All the top Lay…
",25.073891432247677,positive
315,"I’m just gonna find a way to set off the United States’ nuclear arsenal because if that happens th…
",-8.957847939561383,negative
317,"Man fuck that I still have hope Arsenal will finish in the top or
",0.11098952155870734,positive
319,"Pipe scores once again
",10.28606817734076,positive
321,"He did
",3.7190356353929044,positive
323,"Funny
",0,neutral
325,"This perseverance spirit
",0.0,neutral
327,"How could you forget to mention Arsenal trying to walk it in again 
",-2.175086706558091,negative
329,"Kier Swarmer would be pleased then 
",6.887874188225329,positive
331,"Clot can stimulate something in a player n goes both ways it s not about this club and that club Sanchez numbers r…
",1.205363489993843,positive
333,"Pus should give him a yrs contract
",5.3039981361140605,positive
335,"that would be a great arsenal skin
",3.753801053553581,positive
337,"We found the new Henry and Van Persia before Arsenal sksksksksk
",7.800641350170517,positive
339,"Coming to Arsenal
",4.8889606368352165,positive
341,"Sake from arsenal
",3.7190356353929044,positive
343,"kwaku t Oh yeah Arsenal is gargantuan
",0.0,neutral
345,"He’s coming Arsenal
",4.8889606368352165,positive
347,"Welcome to Arsenal 🤗
",4.134073134671748,positive
349,"Songs 
",0,neutral
351,"Smush Well Him low your ill collection cute too Well 🥱🥱🥱 and my arsenal too crazy for a take over
",8.339800161278548,positive
353,"Pipe Jr is here 
",-4.572194247063633,negative
355,"What is Mike Artema’s Arsenal An Athletic original written by Ormstein and …
",6.978639652148512,positive
357,"I look at it a bit like arsenal and Puton town
",10.28606817734076,positive
359,"Congratulations mate
",8.607996272228121,positive
361,"I don’t dismiss any method the republicans use to diminish the votes for Bien this is just one more tool in their…
",10.311616855234337,positive
363,"Good one
",3.397107540505542,positive
365,"Or it could be a girl and we can sign her up to the women’s team
",-6.011401808065407,negative
367,"IzIs Spurs and Leicester are out of form they have more chance against them than we do against arsenal and Man U
",8.286367417086762,positive
369,"I second that Gives me that same kind of vibe rn Good enough for Evertor Wolves Spurs Arsenal maybe…
",45.695019494746276,positive
371,"G u support arsenal and ur telling me I like average players Ur team stinks a…
",10.88891079522914,positive
373,"Baby nice 
",6.3039981361140605,positive
375,"Barcelona arsenal Chelsea
",-3.1571567477847897,negative
377,"Before their game today Arsenal and Liverpool had the exact same goals for vs goals against in Arte…
",7.800641350170517,positive
379,"And your club isn’t An Arsenal Fan spending his Sunday evening’s on Evertor’s twitter
",-19.928187272998066,negative
381,"Welcome at
",4.134073134671748,positive
383,"He tweeted about planting trees everytime Arsenal wins i think last month
",7.732469847528938,positive
385,"has been rewarded for their good work at Arsenal by winning English Premier Division Manager of the Month for August
",53.503734145452476,positive
387,"Niggas stealing the hat swag so I gotta get a new arsenal 🤧
",1.9116807133353002,positive
389,"Welcome to Fatherhood club Nature playing is expected of you henceforth no more Secondary School playing…
",13.130188164178158,positive
391,"you support arsenal mate whens the last time you won something
",25.731231675764512,positive
393,"Above Arsenal
",0.0,neutral
395,"Buendia is no brainer man I want him at arsenal at least as a Squad player would come in for peanuts
",1.7663413501712615,positive
397," I m selling you across boarders bro Big
",-2.438121112391885,negative
399,"Why do they link with almost all players
",-5.273349765289312,negative
401,"Arsenal fans celebrating we have more known youngers because they can actually get game time trophy
",12.130188164178156,positive
403,"Why lipoo be arsenal
",6.472836688946485,positive
405,"Artema Lacazette really needed that goal Our head coach discusses our French forward and the roles that Shkodra…
",15.50174702679012,positive
407,"I like the way Sake reacted he was rewarded Mike Artema discusses our teenage forward s goal and performance …
",19.668241639154246,positive
409,"Lacazette on… the win Sake and the defence Our French striker reacts to a hard fought victory at Wolves and the…
",65.8341964421517,positive
411,"Great coaches don’t risk an important player in an already won match It’s not a Guess u support Arsenal
",49.115168857534826,positive
413,"cause i know not the ceo of harassing arsenal players talking
",1.12891142955597,positive
415," I hate Spurs so much
",0.0,neutral
417,"cloak Arsenal ne
",0.0,neutral
419,"It’s not a conflict of interest they all went on the show before making m…
",-8.268559647562531,negative
421,"The fact that Weak Oil at Arsenal is better than any Pogba season kills me man 
",0.0,neutral
423,"cong pipe
",0.0,neutral
425,"Have you seen Arsenal 🥰
",0.0,neutral
427,"session with Ex Arsenal under s RCT now current Reading academy player Davina Spinoza 
",9.28606817734076,positive
429,"Well I’d be worried if he became a mother
",8.472836688946485,positive
431,"Year don t think Origin good enough th Brewsters coming back so I d say someone like Aubameyang if…
",61.956444141426644,positive
433,"Arsenal lt lt Liverpool i’m wrong
",-21.419002823460232,negative
435,"He scored on his debut against arsenal He scored a brace against Chelsea in the u…
",-16.01391714702395,negative
437,"Congrats Pipe welcome jnr gunner
",1.5260270208375504,positive
439,"Good detailed description of the match Glad you highlighted Mainland Miles contribution He has…
",47.262060087470175,positive
441,"How many C medals with Arsenal
",-1.1161930175045232,negative
443,"New dad in town congratulations
",4.3039981361140605,positive
445,"Arsenal
",0.0,neutral
447,"Semi Martinez levels Spurs for clean sheets this season
",6.8889606368352165,positive
449,"Big a little deeper and you’ll realise Mattéo Guendouzi’s exclusion from Artema’s Arsenal squad has been a long ti…
",7.826636558703462,positive
451,"Th fair enough if you d take him because he suits arsenal more but mane is the much…
",20.67450062962593,positive
453,"Eurychus Arsenal fans piping up again
",-0.7600492072792471,negative
455,"Man United And Arsenal Fans When The Champion s League Is Mentioned In The Office
",0.0,neutral
457,"Arsenal fans voted for you come to the carpet 
",-4.934764326448342,negative
459,"Im about to record my o…
",-9.729350994848422,negative
461,"Underrated comment 
",0,neutral
463,"Having a bet on the Arsenal v Leicester game Get your bet refunded up to £ as a Free bet with…
",7.228397261500807,positive
465,"Absolutely brilliant 
",0.0,neutral
467,"Arsenal are shit against top teams artetas tactics are too progressive Need to play an…
",12.74206940689987,positive
469,"Still better than Arsenal
",0.0,neutral
471,"He s better than our current midfielders He s so brilliant on the ball I would like we cash in on him
",25.215992544456242,positive
473,"Announce Pipe J
",0.0,neutral
475,"glad He beats his wife when arsenal lose
",-16.471470243354368,negative
477,"shame Shame so you’re still supporting arsenal
",0.0,neutral
479,"Congrats Nice can t wait to know how that feels
",12.420141312012507,positive
481,"Come rain or shine
",-3.2157286910554372,negative
483,"Arsenal
",0.0,neutral
485,"He s arsenal bound
",0.0,neutral
487,"ever
",0,neutral
489,"Just have it at the back of your mind that we ll be active in the t…
",6.397285655939308,positive
491,"arsenal fans They also think Pipe is better than Pulisic omao
",14.74206940689987,positive
493,"Greatest Pp season by points Man U City Man U …
",13.491174568467914,positive
495,"also tatie plays for arsenal babe can’t have you out here looking crazy girlie 
",2.643484602385728,positive
497,"This is nine months ago
",0.0,neutral
499,"Don’t expect too much from Arsenal fans brother 
",1.6959520222798625,positive
501,"It was two or three years late th
",9.566982700341779,positive
503,"Arsenal confident of completing Thomas Party transfer as key duo approve swoop
",3.9820700412266983,positive
505,"Arsenal in reverse
",0.0,neutral
507,"the girl is a dash and arsenal fan so i will say that allied long is right
",-1.5450363163083973,negative
509,"Cos I know it s only a Manchester united fan that ll say that Manchester Derby…
",13.705171943485759,positive
511,"He wouldn’t leave for arsenal though possibly Napoli but who knows hoping the takeover happens so th…
",2.397107540505542,positive
513,"Congratulations man
",4.3039981361140605,positive
515,"Arsenal fans part is so damn accurate And oh the Ronald fanboys too 
",9.607996272228121,positive
517,"Happy to be a sooner we are made of black and white
",25.384831097288668,positive
519,"Eurychus na his wife does
",-8.729350994848422,negative
521,"Classenal 
",0,neutral
523,"Collection Of Home Programmes
",4.3039981361140605,positive
525,"Unlucky Lacazette His career only went downhill after this
",-0.005161705115778403,negative
527,"Blacklist U are a complete 🤡 sorry Some arsenal fans and dere opinions are funny who is holding 
",7.835178811291351,positive
529,"sports I know u dey beef us cos na only arsenal get such unique title in England
",5.759627778284175,positive
531,"Congratulations Nice
",4.3039981361140605,positive
533,"I never watched golf or NASCAR much before but now watch both religiously And Premiere League Arsenal
",1.0585221016645718,positive
535,"One achievement since joining Arsenal
",6.116143175898447,positive
537,"Thought his first child was vv
",-5.010315359455518,negative
539,"watch out for newcastle and arsenal tho
",3.4966432140564563,positive
541,"Arsenal for life
",0.0,neutral
543,"Miller Just know my husband Ex military and I are not part of any group…
",1.12891142955597,positive
545," this could be the guy your looking for
",7.472836688946485,positive
547,"Not Spurs Arsenal and one linked with arsenal what are the odds
",6.116143175898447,positive
549,"We ve got this
",0.0,neutral
551,"Please vote guys
",0,neutral
553,"Congratulations
",4.3039981361140605,positive
555,"Congratulations
",4.3039981361140605,positive
557,"allow it bro he’s a fashun guy u think I’d go out of my way to watch arsenal low
",-6.3403585457086,negative
559,"What s this
",0.0,neutral
561,"He’s an Arsenal fan he’s coming to the Emirates
",-0.15271889352963708,negative
563,"announce Pipe jr
",0.0,neutral
565,"Would love him at Arsenal bossing the space in front of the back four
",26.712635758512697,positive
567,"Welcome to The Arsenal
",4.134073134671748,positive
569," Juventas to test Arsenal resolve with Oil bid
",0.0,neutral
571,"Baston Villa came for a point at least but Curtis Jones and Lane did it for Liverpool Leicester won it with again…
",43.92220203380951,positive
573,"BLESSED CHILD
",0,neutral
575,"Let him go on maternity leave for the next months
",-5.282687629868649,negative
577,"Contrat Nice on been a father God Guidance won t seize in ur family
",51.55751597099634,positive
579,"Congratulations to Nicholas Pipe and his wife on the birth of their first child 
",-0.7063172233414576,negative
581,"You do realise that Villa have to play Ut Arsenal and Evertor No points there pa…
",4.414987657672768,positive
583,"Welcome to Arsenal bro can’t wait to have you 
",-1.2861180189468353,negative
585,"It’s Arsenal’s worst season in years yet the Spuds still somehow find a way to outbanter us You can’t write this
",-59.187220140223836,negative
587,"Basically this means what cars with W engine maybe stronger the current Ferrary engine Ana this feels like we…
",16.327031907621027,positive
589,"Throw Dominie in the twist because we are mighty Arsenal
",0.0,neutral
591,"We love you at Arsenal Thomas
",3.9820700412266983,positive
593,"Congrats to Pipe
",4.134073134671748,positive
595,"samian Madrid sold cr arsenal sold Henry at his prime
",1.3167663897715833,positive
597,"If I was Arsenal’s chief executive this would be my plan Sell Mustafi Haka Öoil even if we pay of his w…
",-15.96793534197706,negative
599,"Sufi Have you never heard of Kroenke The man who runs our cl…
",7.701105676619603,positive
601,"Sorry Arsenal 
",0.0,neutral
603,"Premier League Update – Arsenal secure vital win at Wolves Manchester United smash FIVE past Bournemouth and Chess…
",59.39612517136588,positive
605,"Congratulations Nice
",4.3039981361140605,positive
607,"We can’t afford to play like the first half today against them and Arsenal and Chelsea if we do we’ll get hammered 
",8.201933100915657,positive
609,"Can’t think of any that played for Arsenal or Chelsea either
",-1.4381211123918853,negative
611,"got Spurs players arsenal and one linked with arsenal
",-1.175086706558091,negative
