,tweet,pol_value,sentiment
613,"If arsenal actually get a C and midfielders next season might be one the most competitive prem seasons ever
",17.647501966509502,positive
615,"But buendia in an Arsenal team and he d be right up there with the assists
",-1.2923661726725024,negative
617,"announce Aubameyang contract extension and the signing of Thomas Party done and dusted 
",21.96924389518706,positive
619,"wow what a piece of analysis on world cup winner Paul Pogba from an Aren…
",0.0,neutral
621,"Had a great time doing the podcast tonight with and a returning…
",3.7190356353929044,positive
623,"Arsenal purchase Mason Greenwood
",0.0,neutral
625,"Clubs are rebuilding Look at Man United Man City Liverpool Chelsea Pig Bayer Take Bubo to Madrid Even Are…
",2.087231899191115,positive
627,"Congratulations to you Nicholas Pipe
",4.3039981361140605,positive
629,"A new sooner on the cards
",5.719035635392904,positive
631,"Download Highlights Wolves vs Arsenal
",4.982070041226698,positive
633,"Said by an Arsenal supporter in Series A you will not even obtain the th Place
",5.093059562785406,positive
635,"He can afford it
",0.0,neutral
637,"obis You are not spokesman Since she left our club to s current club our winning stre…
",15.724139448126568,positive
639,"Late you heard something I dont know fill me in
",10.782711391397216,positive
641,"Days the Arsenal fan 
",-5.041679530364854,negative
643,"He was always waiting for the challenge slightest touch before he threw himself to the ground He’d…
",9.215678849449361,positive
645,"Pipe delivers
",0.0,neutral
647,"This is absolutely insane this guy turns a team like arsenal into a title challenging team on his own
",10.339800161278548,positive
649,"Do CUPPY TRENDING OR JST DENOUNCING ARSENAL FOOTBALL CLU
",-1.7011555182256788,negative
651,"Ink about you arsenal fans but it seems like it won’t get into your heads his role isn’t to score goals…
",-11.974827029297911,negative
653,"Man hasn t changed a bit since leaving Arsenal He is still a branch warmer 🤷‍
",1.8658770237221756,positive
655,"Arsenal fans out in force after watching premier league champion Oxlade Chamberlain and delighting in the fact he p…
",3.4966432140564563,positive
657,"Waiting for the day one of my tweets make it onto Oddsbible For now I am providing football banter and running a c…
",-2.4432828175076633,negative
659,"manutd Arsenal will beat Leicester Liverpool will beat Chelsea We will beat Leicester Wolves will beat Chelsea Relax To secured
",17.204032982792036,positive
661,"Dis shit was so cute
",4.3039981361140605,positive
663,"Well at least he performs off the pitch
",7.116143175898446,positive
665,"I wonder who knows more about football you plays…
",0.020386972777799883,positive
667,"When was the last time you made Europe Rangers are currently further in Europa league t…
",7.469435441695143,positive
669,"less lets just agree that arsenal isnt shit 🤝
",4.3039981361140605,positive
671,"Congratulations
",4.3039981361140605,positive
673,"Spot on Frank I loathe the parasites Our club taking the unprecedented step of threatening them with a lawsuit un…
",2.8445665174767636,positive
675,"They both started at Arsenal 🤔
",-0.4381211123918849,negative
677,"WHO WANT To PLA ARSENAL
",2.397107540505542,positive
679,"If this lad had a better team around him the goals wouldn t stop flowing Next season will be different…
",26.969793598009822,positive
681,"And he s still better than nearly every Arsenal player mad
",17.59006631345482,positive
683,"Can’t wait for arsenal to give us one  Hope the Ox starts
",-8.502168455785194,negative
685,"Congratulation for not only being senior player but also a father welcome pipe jr
",21.765103178406836,positive
687,"People that actually watch Lacazette and Arsenal will realise how true this thread is Lacazette sacrifices hirse…
",9.683175717846302,positive
689,"Don’t buy that th Yes they have fame but at the end of the day they live…
",16.607946430622043,positive
691,"Just another boring Arsenal fan hating hype about another club
",-10.198836278149642,negative
693,"Congratulations Nice
",4.3039981361140605,positive
695,"Get in
",1.9116807133353002,positive
697,"Anyone on the timeline have any arsenal paintings wall decor to recommend Trying to find some unique stuff for one of my walls
",-3.613207818949976,negative
699,"Never mind that will Arsenal qualify for Champions League
",0.0,neutral
701,"OC Witness Feel very free to
",0.0,neutral
703,"Finally A little Gunner
",-6.742119248505946,negative
705,"A know mate but that season finished nd Talking about in a season…
",6.847947064948874,positive
707,"I ve lowered all flags the day the club died M for nothing more than the M So we were about to sell
",7.07927261105533,positive
709,"Grace Ummmmm I literally have no inkling except to be basic and say Man United Arsenal Liverpool or something
",15.185158752452303,positive
711,"arc Any arsenal midfielders better than Lo Cels
",21.631030043735088,positive
713,"This Enter that I thought would really compete with June for the scudetto they can disappoint sha rubbish team
",-5.742119248505945,negative
715,"Don’t you remember the Arsenal game St He was brilliant then too Injury…
",24.180140677685678,positive
717,"What we think we need or don t need is irrelevant As we can see and clearly have…
",5.701105676619603,positive
719,"How is Arsenal a bad place for a player like him Great new young man…
",-19.64139524479668,negative
721,"Ur arsenal like u need more money omao
",13.937543086235761,positive
723,"what if its a girl
",-5.157156747784789,negative
725,"Congratulations Nice
",4.3039981361140605,positive
727,"“Regression analysis is the hydrogen bomb of the statistics arsenal ” Charles Wheelman “Naked Statistics …
",-9.469746978092815,negative
729,"Right Like what other diabolical plans does sis have in her arsenal I’m curious atp
",-5.934764326448342,negative
731,"Arsenal did it a season n went to the next season til manutd stopped them
",10.867600288983729,positive
733,"Close Mode should have scored at the end but the hit straight at the goalie
",-0.6307661903342812,negative
735,"Your chins bigger than arsenal mate
",4.3039981361140605,positive
737,"isaac We don’t really need him though
",4.134073134671748,positive
739,"Pipe Stars Me
",0.0,neutral
741,"Greatish can really fit well in that Arsenal team 🤞
",6.3039981361140605,positive
743,"Congratulations
",4.3039981361140605,positive
745,"For me Yucas torriera is very underrated
",0.0,neutral
747,"If you re interested in some Perfect Dark merch you can buy tee and get off on the second by entering the co…
",53.441887070148965,positive
749,"Party to Arsenal Here we go
",-9.854881876932282,negative
751,"Congratulations Pipe
",4.3039981361140605,positive
753,"The way arsenal fans bang on u think he’d have scored by now
",0.9183444436163111,positive
755,"GIVE IM A R DEA
",0.0,neutral
757,"the whole of arsenal to manchester united
",3.9820700412266983,positive
759,"Low arsenal is his last bus stop
",0.6163266716304916,positive
761,"That was a great goal lacapoom
",4.3039981361140605,positive
763,"Oh well you should change the team you re singing for right now that being arsenal 
",5.3039981361140605,positive
765,"Europa is yes but there is a chance that Arsenal would finish th If Arsenal finish th and get Cl t…
",-5.1627318311196015,negative
767,"We are your proponent so come to Arsenal 
",-4.934764326448342,negative
769,"He was a good player at Arsenal better than the wingers we have if fully fit polly pipe can take him…
",39.82398881668436,positive
771,"Lingard is going to Arsenal
",0.0,neutral
773,"Liverpool have more wins in the Pp than Arsenal and Ut combined apparently we were lucky to win the league
",32.960568806966684,positive
775,"Greatish to Arsenal
",0.0,neutral
777,"Sufi No worries always happy to help another team out x And i…
",32.73566953001966,positive
779,"Give him a contact
",0.0,neutral
781,"Only when Arsenal are bleeding its too much it stains Blue
",-0.8531586116707288,negative
783,"That s good news for the coming of the baby Congratulations
",21.800955045177396,positive
785,"All us a certain Nigerian Do left the club
",-8.577347901403373,negative
787,"Yes you had it last time when you defeated us  everyone started changing their ami to…
",6.183317422748309,positive
789,"Just for any special need arsenal fans Lane is miles clear of Aubameyang and that comparison is v disrespectful to mane
",13.420141312012507,positive
791,"How many percent of those are back passes and side passes Arsenal and all these deceiving stats
",12.519676985563422,positive
793,"Thomas Party says he wants his transfer to Arsenal to be completed SAP and to prove it he will eat trifles p…
",4.748639348437802,positive
795,"smart need to hear Jim wanker Begin commentate on Arsenal its unreal Yes players do go down easily but m…
",-83.7893749200018,negative
797,"Hey guys i have few followers so please follow me and i will follow bag GREAT UN Of ARSENAL since i was years
",-2.023083613113041,negative
799,"Is it a boy
",0.0,neutral
801,"Congratulations pẹpẹ
",4.3039981361140605,positive
803,"Welcome to Arsenal we’re so happy to have you and we’ll love you forever Can’t wait to…
",28.765103178406832,positive
805,"Arsenal Leicester
",3.30399813611406,positive
807,"Just a reminder for Arsenal’s next opponent so start to tremble
",-5.420191153618584,negative
809,"le was the best source on arsenal last summer but this window they are chatting shit
",38.42754723465733,positive
811,"X george You skipping Arsenal fans to put Chelsea fans in batch B ni
",2.1468413883292707,positive
813,"Firming Talks into Arsenal team all I m saying
",0.0,neutral
815,"Where do u see Arsenal next season then
",1.432917616446069,positive
817,"Superior quality in that touch
",12.023033771506965,positive
819,"Tell me it s a young Pipe who d replace his daddy in the future 🤗
",-3.02824531822882,negative
821,"Arsenal must do what
",-3.420191153618583,negative
823,"I actually think he s trying trf to him I ve always felt since when he came even if people banter arse…
",11.74206940689987,positive
825,"Songs to him 
",0.0,neutral
827,"Your player swore on his daughters life that he got a flick on a teammates goal
",1.3167663897715833,positive
829,"Artema Lacazette really needed that goal
",10.782711391397216,positive
831,"So Ndombele did I hear
",3.7190356353929044,positive
833,"Arsenal under Mike Artema this year nd highest points only behind Liverpool …
",17.761351043545726,positive
835,"He isn’t going to shag your calm down
",-21.226357745517838,negative
837,"Football Who is getting closer to sign for Arsenal
",2.397107540505542,positive
839,"Arsenal fans they just trying to stay relevant before they fast fade away
",1.6434846023857275,positive
841,"What a player in the ranks
",0.0,neutral
843,"Arsenal Squad Builder Ff
",0.0,neutral
845,"I think I like Arsenal and I will be supporting them in coming days
",11.487328207865561,positive
847,"Cheers for the points this season🤭🤝 And ur acting…
",0.9589864281136573,positive
849,"Ceric has goal contribution since joining arsenal Mid cels has a mighty 
",17.04606754301393,positive
851,"can’t see liverpool being as good next season and pep is losing the plot a bit so will be a good season ho…
",42.57778987023794,positive
853,"We move
",0.0,neutral
855,"Do MCC Think the games against Chelsea and Arsenal both needing results chasing Europe could be interesting
",-6.980703595634582,negative
857,"Hopefully they back the manager the hope but as the saying goes Being an Arsenal fs…
",13.519676985563422,positive
859,"silva winnle I don t like Chelsea but arsenal fans are not supposed to insult them
",6.388515446311576,positive
861,"Donald trump and Arsenal Hall when they first started working together
",7.438071270785809,positive
863,"We have to beat one of Ut or Arsenal and also pick up at least points from Palace Evertor and West Ham If we’re…
",-5.017163057610022,negative
865,"Four more wins reds Brighton Burley Newcastle and Chelsea Arsenal can have a point
",13.891417650839717,positive
867,"Video Wolves v Arsenal PREMIER LEAGUE HIGHLIGHTS NBC Ports
",4.982070041226698,positive
869,"This should be the name on his shirt for the next game
",5.485604942604008,positive
871,"Congratulations Pipe
",4.3039981361140605,positive
873,"Out of these two was the better player in the Premier league era Henry or Ronald
",30.15070702929851,positive
875,"Ff  and he’s scored against Wolves who are above Arsenal and Sheffield who are above Spurs 
",4.841520795789441,positive
877,"Someone had to deliver when he wasn t trf
",5.3039981361140605,positive
879,"Arsenal actually have a bright future I m excited
",3.7190356353929044,positive
881,"Arsenal Brand they are not even the top football brand in london Atletico h…
",6.853108770064653,positive
883,"years of supporting ARSENAL Gunner for life
",-11.48423849701189,negative
885,"Can you tell me some names the most talented from arsenal
",13.005103812733664,positive
887,"SIN IM Up SIN IM Up SIN IM Up
",-14.226357745517836,negative
889,"Out time he did something productive
",14.431357698898722,positive
891,"T You support Arsenal Why are you talking 
",7.023033771506965,positive
893,"granberg Romney was bullying peak Arsenal in the worst Evertor side of the past y…
",-38.71059624252973,negative
895,"Kingsley Ut aren’t as consistent as us by a million miles They’ll need to improve by pts That’s not going…
",21.15705706457264,positive
897,"I think he’s an Arsenal black ops agent
",4.3039981361140605,positive
899,"Ff  only for ft
",0.0,neutral
901,"Arsenal The mugs
",0.0,neutral
903,"Arsenal LMAOOOOOOOOOOO why na
",2.7190356353929044,positive
905,"Shocking The professionalism in this sport is at its lowest
",-5.157156747784789,negative
907,"i found that like months ago amp since then i haven’t looked at arsenal the same again
",14.139176947405412,positive
909,"kob getting more desperate for this assist record  he’s still claiming the one vs arsenal couple weeks back  i…
",20.28218320684717,positive
911,"Good to hear that
",0.0,neutral
913,"You’re lower in the table than arsenal 
",0.0,neutral
915,"can you v me myusername is AlexZoeCone i would love to lose from a popular arsenal player…
",0.0,neutral
917,"FOLLOW My PLAYERS I REALLY REALLY NED YOU SUPPORT I WILL FOLLOW YOU ACK  TRUST My
",-9.41258460507684,negative
919,"U go for Arsenal 
",-3.5636519944757445,negative
921,"Probably City will reinforce big time unless they’re banned from the C Chelsea have…
",-5.917921755148624,negative
923,"Barcelona Arsenal and Man U even if they are sharing extra lives there I will never support them
",11.586635924376633,positive
925,"Arsenal peaked with peng players We re coming for you Liverpool
",0.31676638977158333,positive
927,"Playing arsenal 🤪🤪
",3.4966432140564563,positive
929,"Pipe assisting in both ends my winger
",-8.729350994848422,negative
931,"look literally every season its a horse race back then…
",8.303626548725063,positive
933,"The guy dey score every where sha on and off pitch Well done on been a grand father Arsenal
",26.550776006830027,positive
935,"die Literally past tweets have all been about arsenal I’ll say it again obsessed
",7.166123024975128,positive
937,"The academy is starting to fruit at last Some really exciting prospects
",11.304664094592571,positive
939,"Semi Buendia must buy PL proven low wages young player who can improve further can play mud…
",0.9589864281136573,positive
941,"Congratulations
",4.3039981361140605,positive
943,"All for him to be worse than year old Mason Greenwood
",12.776834825060545,positive
945,"Can t stream arsenal for days due to account age restriction at least on my twitch acc min days or so
",1.1289114295559695,positive
947,"I now understand celebration yesterday
",0.0,neutral
949,"GIVEAWAY Will be picking a random winner on the day of release of the new Arsenal shirt Retweet and follow…
",8.642761690388797,positive
951,"Arsenal season highlights
",0.0,neutral
953,"I don’t want Arsenal to do it beg
",0.7138819810531651,positive
955,"Low Jose s team is behind Arsenal and Liverpool th
",3.9820700412266983,positive
957,"He is fairly slow and not great in the air but he has shown both here and in Beg…
",-6.010315359455518,negative
959,"Do you think he can make it to the Arsenal squad
",-3.420191153618583,negative
961,"silva Hut up please  I don t understand how an arsenal fan will tweet this
",-5.801728737644101,negative
963,"Never
",0,neutral
965,"Healing with Adams Traore was never going to be easy but Arsenal got the job done
",13.03986923089434,positive
967,"Arsenal board should not try selling lacazette Guendozi mustafi and oil are there If Aubameyang need to…
",18.12124698863211,positive
969,"Man City Man u ARSENAL Chelsea
",-5.479800642756739,negative
971,"Toi Agree if villa would except m then Arsenal should pick him up 
",-1.6080461138341975,negative
973,"Arsenal are losers Why should he go and waste his time there
",0.8871875299675871,positive
975,"Or what I should say is the difference in how the media portray United compared to Arsenal this year 🤷‍
",3.3625202377786323,positive
977,"You re counting Arsenal as a big game 
",2.9820700412266987,positive
979,"Should be in your ranking
",3.753801053553581,positive
981,"He is always been a top playercfor beloved arsenal fc
",8.978639652148512,positive
983,"Liverpool would still be above Arsenal even if all the points Liverpool won away from home were removed
",25.62993554434916,positive
985,"I did this decode before game started late upload Arsenal won the goal line bet
",42.75870330152663,positive
987,"What a goal
",4.3039981361140605,positive
989,"clive You see I didn t even have to say which you figured it out
",12.297284564226974,positive
991,"U dey mind dem like say their generation get half of wet…
",7.127359562784662,positive
993,"But involves arsenal and Tottenham who are mid table at best
",14.005103812733664,positive
995,"Marking Arsenal seem to actually be Good Less…
",26.384831097288668,positive
997,"you just hate Arsenal 
",0.0,neutral
999,"Ormstein Anyɛ gbemi you know the no of years Arsenal has featured in C Stop hating
",-4.461204725504926,negative
1001,"Great Time to become a mother next Deliver some goals   
",12.157106906178713,positive
1003,"NEW EPISODE MIN THE GPA and discuss Arsenal s resurgence Tottenham s decline …
",8.148564653590824,positive
1005,"Congratulation red Pipe
",0.0,neutral
1007,"Late to agree but arsenal invincible team would beat th…
",7.286068177340759,positive
1009,"points above arsenal points above man united if you add both together We’d still be points clear champions…
",6.787966927285419,positive
1011,"Idiot Obviously an arsenal fan omao
",-0.32264389497194923,negative
1013,"Trf I wouldnt even mind him Edouard at Arsenal wouldn t cost too much and has loads of potential
",4.3039981361140605,positive
1015,"But if you want a top player and Liverpool City Chelsea United also want that player you wi…
",0.6542724919150094,positive
1017,"Hoyden Collins Lexington Christian Academy breaks the scoreless tie in the top of the rd with a out hit t…
",11.759627778284173,positive
1019,"Arsenal is no longer a big club stop living…
",5.701105676619603,positive
1021,"Another superb product of Hale End youth academy brilliant year old midfielder Charlie Platino …
",63.28165541912291,positive
1023,"Forever
",6.3039981361140605,positive
1025,"Now scratch J K Rolling and you get every single damned TER talking point in the arsenal
",11.875820795788695,positive
1027,"manutd Arsenal will beat Leicester and then we will beat Leicester on final day
",20.595170126188485,positive
1029,"Congratulations 
",4.3039981361140605,positive
1031,"Even Jones has goal and he’s never started
",13.327031907621025,positive
1033,"peprah More like an Arsenal syndrome affecting man ut fans 
",2.7804361800570474,positive
1035,"Give Pipe Jr a year deal now 
",4.3039981361140605,positive
1037,"Letter move to chelsea
",-3.1571567477847897,negative
1039,"THC This bitch Supports arsenal
",0.0,neutral
1041,"Daddy pipe
",0.0,neutral
1043,"Guy is scoring on and off the pitch 🤭🤭🤭🤭
",6.853108770064653,positive
1045,"It’s suppose to be “till death do us path” but you’ve betrayed us
",-9.98070359563458,negative
1047,"Congratulations ECOWAS RIVALDO
",4.3039981361140605,positive
1049,"Congratulations 
",4.3039981361140605,positive
1051,"don ‘facts hurt feelings’ where does yo…
",3.9820700412266983,positive
1053,"Watford Norwich H Newcastle H WU A Man City H Arsenal A pts
",-16.617607487508824,negative
1055,"Banky W Locks Do Puppy For Jumping Arsenal Ff
",-3.420191153618583,negative
1057,"America Notes Trump Sins America Sins Concerned about Monday That s the last gasp that the Do c…
",-4.973789483430403,negative
1059,"Congrats Pipe on your becoming a father Good health to mother n baby to the glory of God
",50.15102072430539,positive
1061,"Sahh man Arsenal have been smashing teams I do feel they will just get ahead of Burley this season Credit to them 
",6.180622594670243,positive
1063,"Congratulations to him but he’s a flop
",4.3039981361140605,positive
1065,"ink what you’re trying to say here pal but you support arsenal sit this one out
",10.122197857668882,positive
1067,"wilson Made the right choice
",5.3039981361140605,positive
1069,"United Arsenal Chelsea City Liverpool Spurs
",-7.198836278149644,negative
1071,"Mostly yes But I ve added reaction videos to my arsenal low I see ur a bear…
",-5.273349765289312,negative
1073,"Tyrone Kings would you take him at Arsenal
",4.3039981361140605,positive
1075,"Congratulations Pipe for scoring on and off the pitch
",7.438071270785809,positive
1077,"ARSENAL ARE BETTER THE SPUR AND MAN UNITED
",6.3039981361140605,positive
1079,"Arsenal fans really stinking up mentions
",-4.742119248505945,negative
1081,"Is a Yoruba way if you notice
",0.0,neutral
1083,"Although I respect most fans til matchdays of I need more Arsenal fans on here way
",2.190311974220112,positive
1085,"Only Liverpool mancity Chelsea leister man u wolves Sheffield have managed a higher position than arsenal
",3.5439489288348125,positive
1087,"Arsenal with Lacazette
",2.9820700412266987,positive
1089,"wilson Left him when he was a child
",0.0,neutral
1091,"🤔thats tough United Arsenal Chelsea Pool City Spurs
",-22.683074775161536,negative
1093,"How can pipe jr sign if we dont know if it s a boy or girl
",4.701105676619603,positive
1095,"Well done Mrs Pipe 
",3.9820700412266983,positive
1097,"Nice with the rd goal Wolves Arsenal
",14.59006631345482,positive
1099,"Pp Baston Villa Ff Klapp needs ⃣⃣Its in the last ⃣Names to enter the CLU …
",11.167160570842636,positive
1101,"We need pts maybe That’s the best way to look at it mate and if you can see which games are winnable…
",37.22109635718991,positive
1103,"Arsenal fans when Pipe does one step over
",3.397107540505542,positive
1105,"I’ll just say this then shut up on politics for now Trump’s limited arsenal for response to any challenge is to a…
",1.8885971002222588,positive
1107,"Please behave yourself mate That arsenal squad individually quality…
",4.3039981361140605,positive
1109,"Daniel James Nah how of is he related to Arsenal my man
",-4.572194247063633,negative
1111,"Ut Since the restart you are playing only vs dead food you have more rest than any other team between…
",8.99611502950641,positive
1113,"I could even say you were a badluck to Arsenal team because ever since you left they have been winning 
",20.609347950100677,positive
1115,"Nasi played for Arsenal Mess didn t 
",0.0,neutral
1117,"Talkshite Arsenal back in Champs League running wtv are they on abt points behind Ut behind Chelshit got Solve…
",-0.2634059932227908,negative
1119,"GIVEAWAY Will be picking a random winner on the day of release of the new Arsenal shirt Retweet and follow…
",8.642761690388797,positive
1121,"How come arsenal is second I thought they always lost
",-10.676883574954287,negative
1123,"I didn t like his game vs Arsenal He doesn t know how to play with his back to the goal Dingo Iota off…
",4.808247898712262,positive
1125,"Congratulations 
",4.3039981361140605,positive
1127,"Arsenal gave me money yesterday odds beg rest
",0.0,neutral
1129,"Im not far off followers We making moves
",5.853108770064653,positive
1131,"Ran away
",4.3039981361140605,positive
1133,"Arsenal Twitter do your thing 
",-9.577347901403373,negative
1135,"OL If the arsenal of democracy is not at work that must mean democracy is dead
",8.023033771506965,positive
1137,"cheers guys
",-6.157156747784789,negative
1139,"Rams Real Madrid s La Liza bid nothing to do with refs
",-3.420191153618583,negative
1141,"Former Nottingham Forest footballer Derrick Otis drowns in the U S
",1.7190356353929044,positive
1143,"Year like his colleague Pèpè that preferred the millions at Arsenal and did us a far…
",-0.12135472262030156,negative
1145,"We need to win big games and titles Winning Names when the championship is done is another history
",36.16220266813634,positive
1147,"Leadership moments like these are transforming Mike Artema from Arsenal Ff manager into The Arsenal Raffe…
",12.934714484842265,positive
1149,"Nice Papa  Goal and assist Coming against sp rs
",33.40895131740552,positive
1151,"That means next season is going to be fire 
",3.753801053553581,positive
1153,"He helps our attacking players thrive Haka does all the di…
",-4.572194247063633,negative
1155,"Ormstein Arsenal’s biggest problem is cultural This may be an example of talent losing to culture
",9.941606172163118,positive
1157,"I left this WhatsApp group Are what
",0.0,neutral
1159,"List of overrated football clubs
",0.0,neutral
1161,"There s something called squad depth Greatish would improve our team so much Our back up is Andreas…
",4.9702028149998725,positive
1163,"Arsenal
",0.0,neutral
1165,"When this season started I thought would challenge for the title This was due to the re…
",-4.461204725504927,negative
1167,"Duka but mkhitaryan had goals and assists in premier league games for arsenal is that even bad statistics
",-28.383514493302627,negative
1169,"Luck me mate were still waiting for your boys to deliver after years low and no the saudi cup doesn t count 
",6.847947064948874,positive
1171,"Data with crosses is incredibly objective cross accuracy is purely based on if a teammate…
",0.0,neutral
1173,"We have Man Ut H palace H Evertor A arsenal H West Ham A
",-35.351396336612396,negative
1175,"Just brought into smith Rose Apparently did really well at Huddersfield and if he can ge…
",9.023033771506965,positive
1177,"Frauen Feminines…
",0,neutral
1179,"Thomas Party does not want to clash with Atletico Madrid hierarchy amp wants his transfer to Arsenal to be completed…
",7.467674983830706,positive
1181,"How to beat SSG s win rate defense on Church Arsenal in Clubhouse
",31.917098221075847,positive
1183,"Going good
",0.0,neutral
1185,"Come to Arsenal King
",-4.934764326448342,negative
1187,"Lee Gunner is the only Arsenal fan I have absolutely zero interest in hearing anything from Others annoy me but as…
",-62.236514269906465,negative
1189,"Defy arsenal fans from aft
",0.0,neutral
1191,"Really hoping he starts vs Arsenal and Madrid as well
",0.0,neutral
1193,"Now retweet without masturbating Tak
",0,neutral
1195,"Kieran Tierney is becoming a fans favourite at a player with passion a sure future captain Anybody agr…
",5.3039981361140605,positive
1197,"I think Arsenal should make a play for Greatish With Villa facing relegation he d probably want to leave that sinking ship anyway
",3.7190356353929044,positive
1199,"Welcome to the club Pipe
",4.134073134671748,positive
